FID,DNBR,MASK,RGB_prefire,RGB_within_fire_period,RGB_post_fire
9844,S2A_L2A_T18NZK_9844_20201211T151701_20210115T151709_10m_DNBR.TIF,S2A_L2A_T18NZK_9844_20201211T151701_20210115T151709_10m_MASK.TIF,S2A_L2A_T18NZK_9844_20201211T151701_10m_RGB.TIF,S2B_L2A_T18NZK_9844_20210115T151709_10m_RGB.TIF,-
9844,S2A_L2A_T18NZK_9844_20201211T151701_20210130T151701_10m_DNBR.TIF,S2A_L2A_T18NZK_9844_20201211T151701_20210130T151701_10m_MASK.TIF,S2A_L2A_T18NZK_9844_20201211T151701_10m_RGB.TIF,S2A_L2A_T18NZK_9844_20210130T151701_10m_RGB.TIF,-
9844,S2A_L2A_T18NZK_9844_20201211T151701_20210105T151709_10m_DNBR.TIF,S2A_L2A_T18NZK_9844_20201211T151701_20210105T151709_10m_MASK.TIF,S2A_L2A_T18NZK_9844_20201211T151701_10m_RGB.TIF,S2B_L2A_T18NZK_9844_20210105T151709_10m_RGB.TIF,-
9844,S2A_L2A_T19NBE_9844_20201211T151701_20210301T151701_10m_DNBR.TIF,S2A_L2A_T19NBE_9844_20201211T151701_20210301T151701_10m_MASK.TIF,S2A_L2A_T19NBE_9844_20201211T151701_10m_RGB.TIF,S2A_L2A_T19NBE_9844_20210301T151701_10m_RGB.TIF,-
9844,S2A_L2A_T19NBE_9844_20201211T151701_20210105T151709_10m_DNBR.TIF,S2A_L2A_T19NBE_9844_20201211T151701_20210105T151709_10m_MASK.TIF,S2A_L2A_T19NBE_9844_20201211T151701_10m_RGB.TIF,S2B_L2A_T19NBE_9844_20210105T151709_10m_RGB.TIF,-
9844,S2A_L2A_T19NBE_9844_20201211T151701_20210130T151701_10m_DNBR.TIF,S2A_L2A_T19NBE_9844_20201211T151701_20210130T151701_10m_MASK.TIF,S2A_L2A_T19NBE_9844_20201211T151701_10m_RGB.TIF,S2A_L2A_T19NBE_9844_20210130T151701_10m_RGB.TIF,-
9844,S2A_L2A_T19NBE_9844_20201211T151701_20210115T151709_10m_DNBR.TIF,S2A_L2A_T19NBE_9844_20201211T151701_20210115T151709_10m_MASK.TIF,S2A_L2A_T19NBE_9844_20201211T151701_10m_RGB.TIF,S2B_L2A_T19NBE_9844_20210115T151709_10m_RGB.TIF,-
9844,S2A_L2A_T18NZJ_9844_20210130T151701_20210321T151701_10m_DNBR.TIF,S2A_L2A_T18NZJ_9844_20210130T151701_20210321T151701_10m_MASK.TIF,-,S2A_L2A_T18NZJ_9844_20210130T151701_10m_RGB.TIF,S2A_L2A_T18NZJ_9844_20210321T151701_10m_RGB.TIF
9844,S2B_L2A_T19NBD_9844_20210115T151709_20210321T151701_10m_DNBR.TIF,S2B_L2A_T19NBD_9844_20210115T151709_20210321T151701_10m_MASK.TIF,-,S2B_L2A_T19NBD_9844_20210115T151709_10m_RGB.TIF,S2A_L2A_T19NBD_9844_20210321T151701_10m_RGB.TIF
9844,S2B_L2A_T18NZJ_9844_20210105T151709_20210321T151701_10m_DNBR.TIF,S2B_L2A_T18NZJ_9844_20210105T151709_20210321T151701_10m_MASK.TIF,-,S2B_L2A_T18NZJ_9844_20210105T151709_10m_RGB.TIF,S2A_L2A_T18NZJ_9844_20210321T151701_10m_RGB.TIF
